Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
11.20 L/100km,33.60 MPG (AS),25.26 MPG (AS)
0.84 L/10km,0.61 L/10km,13.58 km per L
11.30 L/100km,12.66 km/L,9.77 L/100 km
14.61 MPG (AS),10.90 L/100 km,17.09 MPG (AS)
7.87 km/L,27.67 MPG (AS),1.08 L/10km
14.90 L/100 km,26.14 MPG (AS),8.17 km per L
18.09 MPG (AS),zero,11.43 L/100km
13.52 MPG (AS),13.00 L/100 km,15.42 liters per 100 km
1.00 L/10km,7.10 liters per 100 km,11.50 km per L
0.49 L/10km,42.80 mpg Imp.,49.86 mpg Imp.
0.92 L/10km,0.75 L/10km,0.84 L/10km
5.70 liters per 100 km,5.30 liters per 100 km,5.52 L/100 km
5.26 km per L,10.90 L/100 km,6.51 km/L
8.70 liters per 100 km,6.30 liters per 100 km,7.62 L/100 km
5.24 km/L,12.00 liters per 100 km,14.79 MPG (AS)
1.58 L/10km,1.07 L/10km,7.40 km per L
21.19 MPG (AS),15.15 km per L,9.07 L/100 km
26.14 MPG (AS),9.70 L/100 km,9.31 L/100km
10.00 km per L,11.10 L/100km,9.53 km per L
16.22 MPG (AS),10.10 liters per 100 km,12.52 liters per 100 km
22.84 MPG (AS),8.00 L/100km,9.27 L/100km
13.20 L/100 km,9.80 L/100 km,24.21 mpg Imp.
7.94 km per L,8.30 liters per 100 km,1.07 L/10km
11.36 km per L,12.82 km/L,8.35 liters per 100 km
31.04 mpg Imp.,8.00 L/100km,27.33 MPG (AS)
15.38 km per L,8.90 L/100km,0.76 L/10km
7.09 km per L,10.31 km/L,8.25 km/L
6.25 km per L,19.60 MPG (AS),14.20 liters per 100 km
9.62 km per L,26.73 MPG (AS),24.30 MPG (AS)
14.20 L/100km,22.60 mpg Imp.,13.44 L/100km
10.10 liters per 100 km,9.70 liters per 100 km,9.92 liters per 100 km
zero,11.70 L/100km,19.33 mpg Imp.
5.62 km/L,19.12 MPG (AS),
13.30 L/100 km,10.42 km per L,11.63 L/100 km
13.50 L/100 km,28.25 mpg Imp.,8.39 km/L
0.97 L/10km,34.87 mpg Imp.,8.98 liters per 100 km
21.58 MPG (AS),9.00 liters per 100 km,10.04 L/100 km
11.63 km per L,7.60 L/100km,28.86 MPG (AS)
16.56 MPG (AS),27.04 MPG (AS),24.09 mpg Imp.
15.90 liters per 100 km,9.70 liters per 100 km,1.31 L/10km
32.85 mpg Imp.,15.62 km per L,13.14 km per L
8.90 L/100km,7.20 L/100km,8.13 liters per 100 km
25.22 mpg Imp.,9.00 L/100 km,10.21 L/100km
,25.57 MPG (AS),9.46 km per L
1.91 L/10km,12.70 liters per 100 km,17.42 mpg Imp.
9.70 L/100km,39.87 MPG (AS),35.35 mpg Imp.
12.40 L/100 km,1.20 L/10km,1.22 L/10km
13.80 liters per 100 km,13.60 L/100 km,13.71 liters per 100 km
19.50 liters per 100 km,1.54 L/10km,17.66 L/100 km
0.85 L/10km,34.59 MPG (AS),7.74 L/100 km
,7.10 liters per 100 km,1.23 L/10km
13.10 liters per 100 km,29.73 mpg Imp.,8.71 km/L
11.76 MPG (AS),13.50 L/100 km,5.86 km per L
11.30 L/100 km,7.20 liters per 100 km,9.46 L/100 km
35.31 mpg Imp.,38.70 mpg Imp.,7.68 L/100 km
9.50 L/100 km,7.40 L/100 km,8.55 L/100 km
10.80 liters per 100 km,34.03 mpg Imp.,29.20 mpg Imp.
11.70 L/100 km,24.76 MPG (AS),10.71 liters per 100 km
1.05 L/10km,26.65 mpg Imp.,10.54 L/100km
10.60 L/100km,8.30 L/100km,29.53 mpg Imp.
5.68 km/L,20.10 MPG (AS),18.90 mpg Imp.
,7.60 L/100km,9.09 L/100 km
7.25 km per L,31.04 mpg Imp.,24.17 mpg Imp.
1.49 L/10km,9.70 L/100km,7.96 km/L
5.35 km/L,8.77 km/L,15.41 liters per 100 km
4.40 L/100 km,0.80 L/10km,16.61 km/L
21.70 liters per 100 km,9.52 km per L,14.12 MPG (AS)
8.40 L/100km,36.22 mpg Imp.,8.13 L/100km
6.29 km per L,10.90 L/100 km,13.65 L/100 km
12.70 liters per 100 km,12.82 km per L,
1.44 L/10km,22.19 MPG (AS),7.88 km/L
24.56 mpg Imp.,7.80 liters per 100 km,0.98 L/10km
5.81 km per L,10.40 liters per 100 km,14.14 L/100km
6.25 km per L,10.40 L/100 km,13.48 L/100km
15.79 MPG (AS),10.50 L/100km,18.21 MPG (AS)
12.30 liters per 100 km,10.20 L/100km,1.14 L/10km
,40.55 MPG (AS),4.92 L/100 km
4.61 km/L,7.94 km/L,1.76 L/10km
21.58 MPG (AS),28.00 MPG (AS),9.78 L/100km
12.58 MPG (AS),2.02 L/10km,19.38 L/100km
15.08 MPG (AS),8.30 liters per 100 km,22.94 mpg Imp.
1.07 L/10km,0.79 L/10km,9.44 liters per 100 km
10.10 km/L,6.50 liters per 100 km,33.75 mpg Imp.
1.29 L/10km,32.10 mpg Imp.,11.05 L/100km
27.97 mpg Imp.,34.87 mpg Imp.,9.20 L/100km
8.20 km/L,9.10 L/100km,1.08 L/10km
9.90 km per L,6.40 L/100km,11.86 km per L
8.85 km per L,12.82 km/L,24.19 MPG (AS)
1.04 L/10km,43.46 mpg Imp.,8.64 liters per 100 km
15.90 L/100 km,9.50 liters per 100 km,18.07 MPG (AS)
4.20 liters per 100 km,21.19 MPG (AS),13.69 km/L
0.88 L/10km,,28.95 MPG (AS)
7.75 km/L,30.70 mpg Imp.,11.23 L/100 km
8.85 km per L,30.16 MPG (AS),10.28 km/L
14.52 MPG (AS),16.60 L/100km,17.25 mpg Imp.
6.33 km/L,10.42 km per L,7.69 km/L
0.99 L/10km,12.99 km per L,8.91 liters per 100 km
,11.24 km per L,9.24 km per L
23.94 mpg Imp.,25.85 MPG (AS),22.22 MPG (AS)
15.70 L/100km,11.00 liters per 100 km,7.36 km/L
11.20 L/100 km,14.49 km per L,9.27 L/100km
12.50 km/L,6.80 liters per 100 km,37.87 mpg Imp.
10.00 L/100 km,36.69 mpg Imp.,8.96 liters per 100 km
10.90 L/100km,19.77 MPG (AS),11.35 liters per 100 km
11.50 liters per 100 km,1.07 L/10km,1.11 L/10km
9.80 km/L,7.70 L/100km,31.13 mpg Imp.
17.10 L/100 km,12.00 liters per 100 km,14.80 L/100 km
11.10 L/100 km,13.70 km/L,9.39 L/100 km
22.42 mpg Imp.,25.00 mpg Imp.,8.32 km/L
11.00 L/100km,8.60 L/100 km,28.48 mpg Imp.
21.38 MPG (AS),7.60 L/100 km,9.47 L/100km
18.60 L/100km,1.12 L/10km,15.27 liters per 100 km
21.98 MPG (AS),9.00 liters per 100 km,zero
12.58 MPG (AS),12.70 liters per 100 km,1.60 L/10km
20.10 L/100km,9.43 km per L,1.58 L/10km
6.06 km per L,0.98 L/10km,17.44 MPG (AS)
18.96 mpg Imp.,0.93 L/10km,8.08 km/L
11.80 L/100km,0.75 L/10km,10.14 km per L
12.50 km/L,16.95 km per L,0.71 L/10km
22.24 mpg Imp.,0.83 L/10km,10.72 liters per 100 km
12.25 MPG (AS),7.04 km per L,1.70 L/10km
10.20 L/100km,13.16 km per L,9.03 L/100 km
19.77 MPG (AS),9.17 km per L,8.73 km per L
25.57 MPG (AS),13.33 km per L,8.44 liters per 100 km
28.34 MPG (AS),0.69 L/10km,0.77 L/10km
23.74 mpg Imp.,0.78 L/10km,9.95 km/L
16.22 MPG (AS),10.42 km/L,1.23 L/10km
13.02 mpg Imp.,6.50 liters per 100 km,1.49 L/10km
5.59 km/L,16.70 L/100 km,17.36 liters per 100 km
23.54 mpg Imp.,14.29 km/L,10.26 km per L
67.26 mpg Imp.,44.84 mpg Imp.,19.44 km per L
5.92 km per L,9.60 L/100km,13.62 L/100km
24.00 L/100km,1.26 L/10km,14.97 mpg Imp.
22.40 MPG (AS),11.90 km/L,29.56 mpg Imp.
5.15 km/L,10.10 km per L,18.68 mpg Imp.
16.80 liters per 100 km,12.60 L/100 km,14.91 L/100km
25.00 mpg Imp.,8.30 L/100 km,9.95 L/100 km
1.61 L/10km,0.91 L/10km,18.16 MPG (AS)
10.00 L/100 km,6.60 L/100 km,27.77 MPG (AS)
10.30 L/100 km,11.24 km/L,29.21 mpg Imp.
4.80 L/100 km,6.30 L/100km,5.47 liters per 100 km
15.80 L/100km,14.00 L/100 km,
8.80 liters per 100 km,42.16 mpg Imp.,0.79 L/10km
5.99 km/L,16.56 MPG (AS),6.42 km per L
13.80 L/100 km,9.62 km/L,1.23 L/10km
1.11 L/10km,11.36 km per L,9.94 km/L
12.35 km per L,0.71 L/10km,30.75 MPG (AS)
16.20 L/100 km,23.76 MPG (AS),1.34 L/10km
6.37 km/L,11.24 km per L,12.64 L/100 km
10.20 liters per 100 km,8.00 L/100km,30.67 mpg Imp.
13.70 km per L,7.30 liters per 100 km,13.70 km per L
12.30 L/100 km,10.64 km per L,10.99 L/100km
20.82 MPG (AS),11.11 km/L,9.74 km/L
,14.70 L/100km,20.36 liters per 100 km
20.10 MPG (AS),27.67 MPG (AS),10.26 liters per 100 km
20.82 MPG (AS),,1.00 L/10km
7.94 km/L,11.24 km per L,10.94 L/100 km
7.00 L/100 km,7.20 L/100 km,39.84 mpg Imp.
13.70 km per L,20.00 km/L,6.26 L/100 km
1.44 L/10km,1.16 L/10km,13.14 liters per 100 km
0.50 L/10km,0.95 L/10km,33.48 MPG (AS)
13.51 km per L,32.22 MPG (AS),0.74 L/10km
28.20 liters per 100 km,6.49 km/L,2.24 L/10km
1.51 L/10km,7.90 liters per 100 km,1.19 L/10km
1.65 L/10km,8.80 L/100 km,18.04 MPG (AS)
zero,10.20 L/100km,31.34 MPG (AS)
15.70 L/100km,9.35 km per L,1.34 L/10km
7.52 km per L,34.03 mpg Imp.,21.29 MPG (AS)
8.33 km/L,10.70 liters per 100 km,8.76 km per L
10.80 L/100km,9.90 km/L,10.48 liters per 100 km
4.85 km/L,10.20 L/100 km,6.28 km/L
13.10 liters per 100 km,7.50 L/100 km,10.58 liters per 100 km
27.69 mpg Imp.,27.04 MPG (AS),9.53 L/100 km
6.76 km/L,12.80 L/100 km,20.32 mpg Imp.
17.10 liters per 100 km,1.23 L/10km,6.69 km per L
7.41 km/L,34.87 mpg Imp.,not-available
1.16 L/10km,0.90 L/10km,
1.25 L/10km,7.40 L/100 km,27.68 mpg Imp.
11.49 km/L,13.33 km per L,28.83 MPG (AS)
10.60 L/100km,8.30 liters per 100 km,9.56 L/100km
16.10 L/100 km,10.30 L/100km,13.49 L/100km
10.20 L/100 km,7.50 L/100 km,0.90 L/10km
0.63 L/10km,23.76 MPG (AS),12.63 km/L
15.90 liters per 100 km,25.92 mpg Imp.,13.65 L/100km
24.50 MPG (AS),15.62 km per L,28.83 MPG (AS)
10.20 L/100 km,36.22 mpg Imp.,10.96 km per L
8.20 km/L,8.20 L/100 km,27.16 mpg Imp.
10.87 km/L,,33.67 mpg Imp.
8.70 L/100 km,7.70 L/100 km,0.83 L/10km
15.00 L/100 km,8.80 L/100 km,
10.53 km per L,7.70 liters per 100 km,8.69 liters per 100 km
10.00 L/100km,8.20 L/100 km,25.59 MPG (AS)
14.20 liters per 100 km,8.06 km per L,17.57 MPG (AS)
8.26 km per L,12.82 km per L,23.14 MPG (AS)
5.08 km per L,10.20 km per L,1.52 L/10km
22.60 mpg Imp.,9.70 L/100km,20.93 MPG (AS)
16.90 L/100 km,1.32 L/10km,15.23 L/100km
7.87 km per L,11.40 L/100km,19.42 MPG (AS)
21.73 mpg Imp.,10.00 L/100 km,24.25 mpg Imp.
9.62 km/L,7.70 liters per 100 km,9.19 L/100km
10.20 L/100km,7.60 L/100 km,26.05 MPG (AS)
11.10 L/100 km,12.20 km/L,9.79 liters per 100 km
10.00 km/L,35.31 mpg Imp.,9.10 L/100km
12.10 L/100 km,7.40 L/100 km,zero
1.34 L/10km,8.70 liters per 100 km,zero
8.26 km/L,11.63 km per L,1.05 L/10km
10.80 L/100km,6.20 L/100 km,11.45 km/L
7.94 km/L,28.68 MPG (AS),22.15 MPG (AS)
25.92 mpg Imp.,31.04 mpg Imp.,10.09 L/100 km
34.03 mpg Imp.,13.70 km per L,0.79 L/10km
8.62 km/L,10.64 km per L,9.43 km/L
32.85 mpg Imp.,7.90 L/100 km,34.10 mpg Imp.
0.77 L/10km,7.60 liters per 100 km,30.73 MPG (AS)
zero,7.70 liters per 100 km,9.07 L/100 km
10.64 km per L,12.99 km/L,0.86 L/10km
27.67 MPG (AS),8.10 L/100km,8.32 L/100 km
19.60 MPG (AS),8.40 km/L,11.96 L/100 km
9.80 L/100 km,11.63 km/L,0.93 L/10km
not-available,0.87 L/10km,24.27 MPG (AS)
11.47 MPG (AS),9.26 km/L,16.14 L/100km
22.62 MPG (AS),12.99 km/L,30.75 mpg Imp.
1.20 L/10km,13.51 km per L,28.45 mpg Imp.
5.90 L/100 km,4.90 liters per 100 km,5.45 L/100km
1.15 L/10km,7.00 L/100 km,29.81 mpg Imp.
26.14 MPG (AS),7.00 liters per 100 km,12.35 km/L
7.41 km/L,23.06 MPG (AS),12.02 L/100km
9.00 L/100km,13.33 km/L,8.32 L/100km
12.30 L/100km,0.81 L/10km,not-available
9.40 L/100 km,6.40 L/100 km,8.05 L/100 km
14.90 L/100 km,11.49 km/L,23.33 mpg Imp.
19.12 MPG (AS),8.70 L/100km,10.68 liters per 100 km
13.44 MPG (AS),1.16 L/10km,6.74 km/L
2.36 L/10km,18.34 mpg Imp.,19.91 L/100 km
9.80 L/100 km,14.49 km/L,0.85 L/10km
31.74 mpg Imp.,0.74 L/10km,8.22 liters per 100 km
24.35 mpg Imp.,8.77 km/L,8.69 km/L
10.00 liters per 100 km,,8.92 L/100km
12.00 L/100 km,12.35 km per L,1.02 L/10km
16.05 mpg Imp.,9.20 liters per 100 km,13.82 L/100km
7.81 km per L,7.10 liters per 100 km,10.23 L/100km
7.63 km/L,24.76 MPG (AS),1.15 L/10km
10.42 km per L,12.99 km/L,32.30 mpg Imp.
7.81 km per L,22.84 MPG (AS),11.68 L/100 km
11.80 L/100km,6.90 L/100 km,24.51 MPG (AS)
1.06 L/10km,0.72 L/10km,9.07 L/100 km
4.95 km/L,7.46 km per L,16.48 mpg Imp.
4.74 km per L,10.90 L/100km,6.06 km/L
30.05 mpg Imp.,14.49 km per L,8.28 L/100km
23.54 mpg Imp.,0.99 L/10km,25.55 mpg Imp.
6.85 km per L,15.50 L/100km,15.01 L/100 km
27.69 mpg Imp.,7.90 L/100 km,
28.68 MPG (AS),7.90 L/100 km,12.40 km per L
11.50 liters per 100 km,7.40 L/100 km,9.65 liters per 100 km
20.77 mpg Imp.,14.93 km/L,1.05 L/10km
1.04 L/10km,12.35 km per L,30.16 mpg Imp.
12.10 L/100km,11.10 L/100km,1.17 L/10km
13.90 L/100 km,10.30 liters per 100 km,19.15 MPG (AS)
8.26 km per L,7.60 L/100 km,10.07 liters per 100 km
1.29 L/10km,34.45 mpg Imp.,not-available
9.62 km per L,11.76 km/L,29.59 mpg Imp.
11.36 km per L,36.22 mpg Imp.,28.17 MPG (AS)
17.60 L/100km,23.06 MPG (AS),14.27 liters per 100 km
13.50 L/100km,38.17 mpg Imp.,
8.40 km per L,,1.04 L/10km
8.40 L/100 km,17.24 km per L,7.23 L/100 km
9.43 km per L,8.20 L/100 km,24.71 MPG (AS)
11.60 L/100km,9.00 L/100 km,10.43 liters per 100 km
8.90 L/100km,0.90 L/10km,26.30 MPG (AS)
27.04 MPG (AS),32.10 mpg Imp.,11.44 km per L
1.14 L/10km,0.84 L/10km,10.05 L/100 km
26.40 mpg Imp.,14.08 km/L,11.01 km/L
13.80 L/100 km,26.16 mpg Imp.,1.25 L/10km
23.29 MPG (AS),8.40 L/100 km,30.26 mpg Imp.
10.64 km per L,11.90 km/L,31.56 mpg Imp.
2.19 L/10km,25.92 mpg Imp.,1.70 L/10km
9.52 km/L,9.90 liters per 100 km,9.78 km/L
13.92 MPG (AS),1.12 L/10km,14.34 L/100km
10.31 km/L,37.34 MPG (AS),8.17 L/100km
13.10 L/100km,17.90 L/100 km,15.26 liters per 100 km
9.09 km/L,7.70 L/100km,29.69 mpg Imp.
8.70 km/L,7.00 L/100 km,29.81 mpg Imp.
11.40 L/100km,32.85 mpg Imp.,9.86 km per L
30.05 mpg Imp.,10.75 km per L,10.69 km per L
8.55 km per L,11.11 km/L,10.48 L/100 km
22.60 liters per 100 km,1.16 L/10km,5.67 km per L
19.62 mpg Imp.,33.63 mpg Imp.,8.55 km/L
9.20 L/100 km,,7.99 liters per 100 km
6.76 km/L,0.92 L/10km,19.15 MPG (AS)
9.17 km/L,28.34 MPG (AS),0.97 L/10km
5.75 km/L,19.60 MPG (AS),14.97 L/100 km
8.80 liters per 100 km,36.69 mpg Imp.,8.30 L/100 km
23.52 MPG (AS),12.05 km/L,10.83 km per L
1.21 L/10km,0.66 L/10km,10.39 km per L
16.60 L/100km,10.70 L/100km,13.95 L/100km
1.32 L/10km,0.94 L/10km,11.49 L/100km
0.82 L/10km,13.89 km per L,12.90 km/L
10.70 L/100km,42.16 mpg Imp.,11.24 km/L
23.94 mpg Imp.,10.31 km per L,21.67 MPG (AS)
10.50 L/100 km,18.23 MPG (AS),8.64 km/L
5.99 km per L,1.21 L/10km,14.63 L/100 km
16.40 L/100 km,11.00 L/100 km,13.97 L/100km
10.20 km per L,7.90 L/100 km,11.18 km per L
10.40 L/100 km,32.10 mpg Imp.,10.33 km/L
29.43 mpg Imp.,7.30 L/100km,11.68 km/L
32.47 mpg Imp.,14.93 km/L,0.78 L/10km
15.96 mpg Imp.,9.40 L/100km,1.40 L/10km
10.20 liters per 100 km,6.80 L/100km,8.67 L/100km
6.94 km per L,27.16 mpg Imp.,1.26 L/10km
,21.19 MPG (AS),11.98 L/100 km
12.38 MPG (AS),11.50 liters per 100 km,15.05 MPG (AS)
9.60 L/100km,7.70 L/100 km,8.74 L/100km
33.23 mpg Imp.,0.81 L/10km,8.32 L/100 km
6.17 km per L,11.90 L/100 km,14.27 L/100 km
15.50 L/100 km,34.87 mpg Imp.,12.17 liters per 100 km
67.26 mpg Imp.,0.60 L/10km,0.50 L/10km
1.85 L/10km,0.78 L/10km,7.31 km per L
10.40 liters per 100 km,8.30 liters per 100 km,29.88 mpg Imp.
15.10 L/100km,11.63 km per L,12.18 L/100 km
9.80 liters per 100 km,0.76 L/10km,32.06 mpg Imp.
24.35 mpg Imp.,9.90 liters per 100 km,10.84 liters per 100 km
7.75 km/L,14.08 km/L,9.72 km per L
9.26 km per L,,9.54 L/100 km
21.56 mpg Imp.,36.22 mpg Imp.,10.71 L/100 km
25.02 MPG (AS),0.70 L/10km,8.32 L/100 km
5.99 km/L,9.80 km/L,7.26 km/L
5.62 km per L,26.16 mpg Imp.,1.47 L/10km
9.26 km/L,8.10 liters per 100 km,10.43 km/L
19.77 MPG (AS),0.78 L/10km,23.39 MPG (AS)
24.56 mpg Imp.,12.82 km/L,9.84 L/100 km
11.20 L/100 km,13.70 km/L,9.45 liters per 100 km
56.50 mpg Imp.,6.00 L/100 km,5.45 L/100 km
10.10 liters per 100 km,13.70 km/L,31.95 mpg Imp.
28.82 mpg Imp.,28.68 MPG (AS),9.08 liters per 100 km
19.62 mpg Imp.,6.62 km/L,6.80 km/L
10.10 km per L,39.79 mpg Imp.,27.22 MPG (AS)
not-available,34.45 mpg Imp.,1.09 L/10km
1.08 L/10km,7.90 L/100 km,
8.93 km per L,8.50 L/100 km,10.02 km/L
25.68 mpg Imp.,27.69 mpg Imp.,10.64 liters per 100 km
56.00 MPG (AS),30.16 MPG (AS),5.82 L/100km
5.40 liters per 100 km,5.30 liters per 100 km,5.36 liters per 100 km
12.90 liters per 100 km,1.27 L/10km,7.81 km/L
36.22 mpg Imp.,35.76 mpg Imp.,36.01 mpg Imp.
1.58 L/10km,9.90 L/100 km,13.14 L/100 km
12.40 L/100 km,8.70 liters per 100 km,10.73 liters per 100 km
13.71 mpg Imp.,7.81 km per L,5.85 km/L
2.04 L/10km,14.90 liters per 100 km,17.93 L/100 km
21.00 MPG (AS),31.36 MPG (AS),29.63 mpg Imp.
8.06 km per L,20.45 MPG (AS),23.55 mpg Imp.
1.26 L/10km,8.20 L/100 km,10.62 L/100 km
5.88 km/L,9.70 liters per 100 km,13.71 L/100km
16.00 liters per 100 km,8.70 L/100km,12.71 liters per 100 km
13.00 liters per 100 km,6.20 L/100 km,23.66 MPG (AS)
13.90 L/100km,11.90 liters per 100 km,21.73 mpg Imp.
5.30 L/100km,7.10 L/100 km,16.37 km/L
16.10 L/100km,7.35 km per L,1.50 L/10km
11.30 mpg Imp.,11.40 liters per 100 km,1.89 L/10km
5.52 km per L,8.93 km/L,6.67 km/L
14.70 liters per 100 km,12.58 MPG (AS),16.50 L/100 km
12.60 L/100 km,9.80 L/100 km,11.34 L/100 km
1.22 L/10km,36.22 mpg Imp.,27.64 mpg Imp.
14.10 L/100 km,11.63 km/L,11.62 L/100km
33.23 mpg Imp.,13.70 km per L,7.96 L/100km
9.01 km/L,8.00 liters per 100 km,24.24 MPG (AS)
,38.17 mpg Imp.,1.08 L/10km
15.00 L/100 km,9.90 km per L,7.82 km per L
9.00 L/100km,7.70 L/100 km,11.88 km/L
10.42 km per L,0.69 L/10km,not-available
1.59 L/10km,11.11 km per L,12.79 L/100 km
5.43 km per L,8.47 km per L,1.54 L/10km
18.80 liters per 100 km,19.00 liters per 100 km,18.89 liters per 100 km
10.10 km/L,31.36 MPG (AS),26.67 MPG (AS)
7.87 km/L,7.69 km per L,12.84 L/100km
11.59 MPG (AS),17.10 liters per 100 km,1.89 L/10km
6.90 km per L,8.20 km/L,13.46 liters per 100 km
12.40 L/100 km,11.76 km/L,not-available
25.57 MPG (AS),37.17 mpg Imp.,27.74 MPG (AS)
14.90 liters per 100 km,11.70 liters per 100 km,7.43 km per L
21.20 L/100 km,7.94 km/L,5.77 km/L
10.70 L/100km,not-available,8.63 liters per 100 km
26.65 mpg Imp.,7.40 L/100km,30.84 mpg Imp.
7.90 L/100km,0.78 L/10km,7.86 L/100km
26.43 MPG (AS),0.63 L/10km,12.94 km/L
15.27 MPG (AS),10.90 L/100 km,13.38 liters per 100 km
12.80 liters per 100 km,29.40 MPG (AS),10.64 L/100 km
1.56 L/10km,9.62 km per L,17.74 MPG (AS)
8.50 L/100km,11.76 km per L,11.76 km/L
1.97 L/10km,1.63 L/10km,1.82 L/10km
,9.26 km/L,not-available
10.10 liters per 100 km,0.87 L/10km,10.56 km/L
1.08 L/10km,0.80 L/10km,10.48 km/L
6.99 km/L,9.70 liters per 100 km,8.18 km per L
,9.70 L/100km,9.17 km/L
21.98 MPG (AS),7.00 liters per 100 km,9.04 L/100km
18.71 mpg Imp.,11.20 L/100 km,13.35 L/100 km
22.60 mpg Imp.,7.30 L/100km,9.84 km/L
9.17 km/L,13.70 km/L,9.28 L/100 km
1.41 L/10km,11.80 L/100km,13.06 L/100 km
22.24 mpg Imp.,9.90 L/100km,11.44 L/100km
17.54 km/L,37.94 MPG (AS),5.92 L/100km
zero,11.70 L/100km,7.22 km per L
22.22 km per L,8.10 L/100km,0.61 L/10km
19.93 MPG (AS),9.30 liters per 100 km,9.37 km/L
8.55 km/L,28.53 mpg Imp.,10.89 L/100 km
12.20 L/100km,42.16 mpg Imp.,9.72 L/100 km
7.75 km per L,6.85 km per L,13.66 L/100km
15.69 mpg Imp.,22.42 mpg Imp.,6.42 km per L
0.92 L/10km,7.80 liters per 100 km,8.57 L/100 km
11.30 liters per 100 km,0.94 L/10km,9.57 km per L
11.90 L/100km,9.26 km per L,24.77 mpg Imp.
5.43 km/L,23.74 mpg Imp.,15.47 L/100km
9.70 liters per 100 km,12.50 km per L,31.62 mpg Imp.
8.40 km per L,8.40 L/100 km,22.78 MPG (AS)
15.70 L/100 km,10.42 km per L,12.96 L/100km
15.60 L/100km,7.69 km/L,14.43 liters per 100 km
7.87 km per L,10.00 km per L,20.48 MPG (AS)
1.13 L/10km,12.35 km/L,9.86 L/100km
0.86 L/10km,6.80 L/100km,0.78 L/10km
1.14 L/10km,0.73 L/10km,29.56 mpg Imp.
12.20 L/100km,11.76 km/L,10.54 L/100 km
18.52 km per L,53.30 mpg Imp.,18.67 km/L
10.20 liters per 100 km,27.35 MPG (AS),9.48 L/100 km
16.40 L/100 km,9.60 L/100 km,13.34 L/100 km
21.40 L/100km,7.63 km per L,17.66 liters per 100 km
18.58 mpg Imp.,10.20 L/100 km,21.81 mpg Imp.
12.80 L/100km,9.20 L/100 km,8.94 km/L
7.14 km/L,1.38 L/10km,7.19 km/L
0.76 L/10km,32.22 MPG (AS),7.46 L/100 km
0.94 L/10km,6.30 liters per 100 km,8.01 L/100 km
,9.70 L/100 km,11.29 L/100 km
16.20 L/100km,18.09 MPG (AS),6.78 km per L
28.25 mpg Imp.,1.04 L/10km,9.82 km/L
32.10 mpg Imp.,6.10 L/100km,0.76 L/10km
17.90 liters per 100 km,1.16 L/10km,6.64 km/L
1.16 L/10km,0.73 L/10km,
18.11 mpg Imp.,10.40 liters per 100 km,7.54 km per L
29.43 mpg Imp.,14.08 km/L,8.47 L/100 km
5.85 km per L,12.50 km/L,13.01 L/100km
1.15 L/10km,,0.98 L/10km
2.14 L/10km,zero,5.90 km per L
10.30 L/100 km,8.40 liters per 100 km,24.90 MPG (AS)
,13.16 km/L,10.62 km/L
0.43 L/10km,42.80 mpg Imp.,0.53 L/10km
30.05 mpg Imp.,8.00 liters per 100 km,8.77 L/100km
8.85 km/L,8.10 L/100km,10.14 km/L
,1.67 L/10km,15.12 mpg Imp.
9.80 liters per 100 km,6.90 liters per 100 km,0.85 L/10km
10.20 L/100 km,,9.44 liters per 100 km
11.36 km per L,12.20 km per L,27.58 MPG (AS)
10.70 liters per 100 km,,zero
,13.89 km per L,9.94 km per L
7.25 km per L,8.20 liters per 100 km,11.28 L/100 km
15.30 liters per 100 km,8.60 L/100km,12.29 L/100 km
5.43 km per L,8.62 km/L,15.34 L/100 km
22.62 MPG (AS),10.87 km per L,9.86 L/100km
8.50 L/100km,8.00 liters per 100 km,8.28 liters per 100 km
1.20 L/10km,9.90 L/100km,9.05 km per L
21.00 liters per 100 km,7.52 km/L,1.75 L/10km
19.40 liters per 100 km,9.52 km/L,1.54 L/10km
12.10 liters per 100 km,15.38 km/L,10.44 km per L
1.59 L/10km,0.95 L/10km,1.30 L/10km
25.22 mpg Imp.,0.83 L/10km,0.99 L/10km
14.60 L/100 km,9.62 km per L,7.87 km per L
16.30 L/100 km,6.62 km per L,6.35 km per L
5.88 km/L,0.93 L/10km,13.54 L/100 km
18.23 MPG (AS),10.30 L/100 km,11.73 L/100km
6.45 km/L,8.47 km/L,20.42 mpg Imp.
13.16 km/L,6.80 L/100km,13.81 km/L
11.00 liters per 100 km,8.80 liters per 100 km,10.01 L/100km
21.50 L/100 km,1.12 L/10km,16.86 L/100 km
12.50 mpg Imp.,5.71 km/L,4.92 km per L
10.50 liters per 100 km,9.50 liters per 100 km,10.05 liters per 100 km
11.10 liters per 100 km,43.46 mpg Imp.,9.03 liters per 100 km
12.20 L/100km,11.36 km/L,1.07 L/10km
19.77 MPG (AS),10.87 km/L,1.07 L/10km
27.67 MPG (AS),7.90 L/100 km,12.15 km/L
7.87 km/L,29.77 MPG (AS),9.49 km/L
9.62 km/L,7.10 L/100km,8.91 L/100 km
10.75 km/L,34.09 MPG (AS),12.17 km per L
20.80 L/100 km,15.47 MPG (AS),18.28 L/100km
10.90 L/100km,9.40 L/100 km,10.22 liters per 100 km
8.80 liters per 100 km,7.50 L/100 km,8.21 L/100 km
12.70 L/100 km,9.10 liters per 100 km,
1.82 L/10km,13.90 L/100km,16.27 liters per 100 km
6.41 km/L,8.50 L/100km,8.06 km per L
